,dataset,class,metric,model1,model2,p_value,median1,median2,median_diff
47,ADNI,Normal Cognition (NC),recall,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.636608975555141,0.7404440061921549,-0.10383503063701394
48,PPMI,Normal Cognition (NC),recall,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.7718337485141047,0.42433578572899344,0.34749796278511125
49,PPMI,Normal Cognition (NC),recall,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.7718337485141047,0.7247160404590633,0.04711770805504134
50,PPMI,Normal Cognition (NC),recall,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.42433578572899344,0.7247160404590633,-0.3003802547300699
51,NIFD,Normal Cognition (NC),precision,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.8736558449066639,0.8967084558633854,-0.02305261095672151
52,NIFD,Normal Cognition (NC),precision,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.8736558449066639,0.8804540179645644,-0.006798173057900425
53,NIFD,Normal Cognition (NC),precision,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.8967084558633854,0.8804540179645644,0.016254437898821084
54,PPMI,Dementia (DE),recall,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.48713706675490115,0.4815950920245399,0.0055419747303612765
55,PPMI,Dementia (DE),recall,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.48713706675490115,0.39349550502379693,0.09364156173110422
56,PPMI,Dementia (DE),recall,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.4815950920245399,0.39349550502379693,0.08809958700074294
57,ADNI,Mild Cognitive Impairment (MCI),recall,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.5560716655607166,0.609210555789475,-0.053138890228758395
58,ADNI,Mild Cognitive Impairment (MCI),recall,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.5560716655607166,0.6392111483619196,-0.08313948280120298
59,ADNI,Mild Cognitive Impairment (MCI),recall,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.609210555789475,0.6392111483619196,-0.030000592572444584
60,NACC,Mild Cognitive Impairment (MCI),recall,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.6692648125714976,0.6863888874888375,-0.017124074917339915
61,NACC,Mild Cognitive Impairment (MCI),recall,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.6692648125714976,0.719238083141797,-0.04997327057029943
62,NACC,Mild Cognitive Impairment (MCI),recall,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.6863888874888375,0.719238083141797,-0.03284919565295952
63,NACC,Dementia (DE),precision,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.9265878086633088,0.8801021275348817,0.0464856811284271
64,NACC,Dementia (DE),precision,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.9265878086633088,0.969389385763652,-0.04280157710034316
65,NACC,Dementia (DE),precision,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.8801021275348817,0.969389385763652,-0.08928725822877026
66,NACC,Normal Cognition (NC),recall,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.8201431040433156,0.6803652623266714,0.1397778417166442
67,NACC,Normal Cognition (NC),recall,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.8201431040433156,0.8110980455771761,0.009045058466139455
68,NACC,Normal Cognition (NC),recall,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.6803652623266714,0.8110980455771761,-0.13073278325050475
69,ADNI,Dementia (DE),recall,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.5140882891731797,0.35485230679242524,0.15923598238075448
70,ADNI,Dementia (DE),recall,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.5140882891731797,0.34925864909390447,0.16482964007927525
71,ADNI,Dementia (DE),recall,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.35485230679242524,0.34925864909390447,0.005593657698520771
72,BrainLat,Normal Cognition (NC),precision,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.8617014137178536,0.7990487178617078,0.06265269585614575
73,BrainLat,Normal Cognition (NC),precision,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.8617014137178536,0.8319132007233273,0.029788212994526275
74,BrainLat,Normal Cognition (NC),precision,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.7990487178617078,0.8319132007233273,-0.03286448286161947
75,NIFD,Dementia (DE),precision,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.9566969721568309,0.938228691629932,0.01846828052689886
76,NIFD,Dementia (DE),precision,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.9566969721568309,0.9762501645159471,-0.019553192359116234
77,NIFD,Dementia (DE),precision,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.938228691629932,0.9762501645159471,-0.038021472886015095
